embed acc bal_acc f1 matt_corr
emb/sc_ppi_emb_d32_e1_l120_w20_k10_p1 0.9276387377584331 0.7954262348663024 0.7188160676532771 0.6952019660576211
emb/sc_ppi_emb_d32_e3_l120_w10_k10_p2 0.926550598476605 0.8049915774701326 0.7239263803680981 0.6929307565274004
emb/sc_ppi_emb_d32_e3_l80_w20_k10_p0.5 0.9276387377584331 0.8056338382280003 0.7268993839835728 0.6973249589812087
emb/sc_ppi_emb_d32_e3_l80_w20_k10_p1 0.9303590859630033 0.8086977191743406 0.7355371900826445 0.708849414765405
emb/sc_ppi_emb_d64_e1_l120_w20_k10_p1 0.9347116430903155 0.8185579074641671 0.7530864197530865 0.7283595667616006
emb/sc_ppi_emb_d64_e3_l120_w10_k10_p1 0.9303590859630033 0.7970318867609716 0.7264957264957265 0.7071901383799625
emb/sc_ppi_emb_d64_e3_l120_w20_k20_p2 0.9292709466811752 0.8007643131581172 0.7268907563025211 0.7029390640022515
emb/sc_ppi_emb_d64_e3_l80_w10_k10_p2 0.9292709466811752 0.8022225422097884 0.7280334728033472 0.7031806521361992
emb/sc_ppi_emb_d64_e3_l80_w20_k10_p0.5 0.926550598476605 0.7904092869534212 0.7121535181236675 0.6897902725677851
emb/sc_ppi_emb_d64_e3_l80_w20_k20_p0.5 0.9309031556039173 0.7988112461915766 0.7292110874200426 0.7097468993471489
