Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
32,5,80,10,5,0.5,0.9005083514887436,0.7890206388501498,0.7053763440860215,0.6605836555262258,0.7890206388501498,0.845360824742268,0.6051660516605166
32,5,80,10,5,1,0.896877269426289,0.7853673021359509,0.6965811965811965,0.6480705661946274,0.7853673021359509,0.8274111675126904,0.6014760147601476
32,5,80,10,5,1.5,0.9106753812636166,0.8134579582685519,0.742138364779874,0.6988105409611073,0.8134579582685518,0.8592233009708737,0.6531365313653137
32,5,80,10,10,0.5,0.8917937545388526,0.7794168674055637,0.683651804670913,0.6305820364325727,0.7794168674055637,0.805,0.5940959409594095
32,5,80,10,10,1,0.888162672476398,0.7576553251970133,0.65625,0.6121446683458628,0.7576553251970133,0.8305084745762712,0.5424354243542435
32,5,80,10,10,1.5,0.9026870007262164,0.7931627553165224,0.7124463519313305,0.6686132139945065,0.7931627553165225,0.8512820512820513,0.6125461254612546
32,5,80,10,20,0.5,0.9092229484386347,0.809767921368183,0.736842105263158,0.6933692164283884,0.8097679213681829,0.8578431372549019,0.6457564575645757
32,5,80,10,20,1,0.8946986201888163,0.7728675523644929,0.6813186813186813,0.6376978701817632,0.7728675523644929,0.842391304347826,0.5719557195571956
32,5,80,10,20,1.5,0.8838053740014524,0.760514603337715,0.6536796536796536,0.5993289404611464,0.760514603337715,0.7905759162303665,0.5571955719557196
32,5,80,20,5,0.5,0.90559186637618,0.8089004624223457,0.7302904564315353,0.6818993244020473,0.8089004624223458,0.8341232227488151,0.6494464944649446
32,5,80,20,5,1,0.9012345679012346,0.795044473952877,0.711864406779661,0.6644740117589798,0.795044473952877,0.835820895522388,0.6199261992619927
32,5,80,20,5,1.5,0.9026870007262164,0.7959486330848842,0.7148936170212765,0.6692823306166785,0.7959486330848842,0.8442211055276382,0.6199261992619927
32,5,80,20,10,0.5,0.9092229484386347,0.8014102880630976,0.7300215982721383,0.6918954698673786,0.8014102880630977,0.8802083333333334,0.6236162361623616
32,5,80,20,10,1,0.906318082788671,0.8163172364092537,0.7372708757637474,0.6864944687208318,0.8163172364092538,0.8227272727272728,0.6678966789667896
32,5,80,20,10,1.5,0.9041394335511983,0.7982457311010723,0.7191489361702128,0.6744771750662163,0.7982457311010723,0.8492462311557789,0.6236162361623616
32,5,80,20,20,0.5,0.9034132171387074,0.7991865904192497,0.718816067653277,0.6724185890879385,0.7991865904192496,0.8415841584158416,0.6273062730627307
32,5,80,20,20,1,0.9121278140885984,0.81575505628474,0.7463312368972744,0.7039315987137958,0.8157550562847401,0.8640776699029126,0.6568265682656826
32,5,80,20,20,1.5,0.9070442992011619,0.822341071511981,0.7429718875502007,0.6907899348445158,0.822341071511981,0.8149779735682819,0.6826568265682657
32,5,120,10,5,0.5,0.9026870007262164,0.8070921441583312,0.7242798353909465,0.6727266264173313,0.8070921441583312,0.8186046511627907,0.6494464944649446
32,5,120,10,5,1,0.9084967320261438,0.802351147381275,0.7296137339055794,0.6895690831778983,0.8023511473812749,0.8717948717948718,0.6273062730627307
32,5,120,10,5,1.5,0.9092229484386347,0.82091143244163,0.745417515274949,0.696465124130722,0.82091143244163,0.8318181818181818,0.6752767527675276
32,5,120,10,10,0.5,0.9034132171387074,0.7964007126508879,0.7164179104477612,0.6717102112115961,0.7964007126508879,0.8484848484848485,0.6199261992619927
32,5,120,10,10,1,0.915758896151053,0.8194083929989391,0.7552742616033756,0.7164014578517892,0.8194083929989391,0.8817733990147784,0.6605166051660517
32,5,120,10,10,1.5,0.8990559186637618,0.7797588464130573,0.6945054945054945,0.6538029860135479,0.7797588464130573,0.8586956521739131,0.5830258302583026
32,5,120,10,20,0.5,0.8990559186637618,0.7895094186023235,0.7036247334754797,0.656092999837565,0.7895094186023234,0.8333333333333334,0.6088560885608856
32,5,120,10,20,1,0.8932461873638344,0.7733563321166665,0.6797385620915032,0.6330696465399906,0.7733563321166665,0.8297872340425532,0.5756457564575646
32,5,120,10,20,1.5,0.8990559186637618,0.782544724181419,0.6971677559912856,0.6543491686628624,0.7825447241814191,0.851063829787234,0.5904059040590406
32,5,120,20,5,0.5,0.896877269426289,0.7937249354410361,0.7041666666666665,0.650936249269621,0.7937249354410362,0.8086124401913876,0.6236162361623616
32,5,120,20,5,1,0.8997821350762527,0.7857826815157845,0.7012987012987013,0.6574596184650972,0.7857826815157843,0.8481675392670157,0.5977859778597786
32,5,120,20,5,1.5,0.9077705156136529,0.8005061289310904,0.7268817204301076,0.6868348154896209,0.8005061289310904,0.8711340206185567,0.6236162361623616
32,5,120,20,10,0.5,0.8961510530137982,0.7849152225699472,0.6950959488272921,0.6456815255882109,0.7849152225699473,0.8232323232323232,0.6014760147601476
32,5,120,20,10,1,0.915758896151053,0.8291589651882052,0.7622950819672131,0.7183548551290095,0.8291589651882052,0.8571428571428571,0.6863468634686347
32,5,120,20,10,1.5,0.9135802469135802,0.8305886042585562,0.7595959595959596,0.7122646992227095,0.8305886042585562,0.8392857142857143,0.6937269372693727
32,5,120,20,20,0.5,0.9026870007262164,0.7917698164323415,0.7112068965517243,0.6683101561365643,0.7917698164323415,0.8549222797927462,0.6088560885608856
32,5,120,20,20,1,0.9099491648511256,0.804648245397463,0.7339055793991415,0.6948080504737464,0.804648245397463,0.8769230769230769,0.6309963099630996
32,5,120,20,20,1.5,0.8976034858387799,0.7886052594703162,0.7006369426751592,0.651318203985846,0.7886052594703162,0.825,0.6088560885608856
32,10,80,10,5,0.5,0.8845315904139434,0.7595737440195378,0.6535947712418301,0.6011503633556828,0.7595737440195379,0.7978723404255319,0.5535055350553506
32,10,80,10,5,1,0.9005083514887436,0.7890206388501498,0.7053763440860215,0.6605836555262258,0.7890206388501498,0.845360824742268,0.6051660516605166
32,10,80,10,5,1.5,0.8910675381263616,0.77896478783956,0.6822033898305084,0.6282607134843364,0.7789647878395601,0.8009950248756219,0.5940959409594095
32,10,80,10,10,0.5,0.906318082788671,0.7926372753781787,0.7177242888402626,0.6807842446707105,0.7926372753781787,0.8817204301075269,0.6051660516605166
32,10,80,10,10,1,0.8990559186637618,0.7867235408339617,0.7010752688172042,0.6553334235335467,0.7867235408339617,0.8402061855670103,0.6014760147601476
32,10,80,10,10,1.5,0.9048656499636892,0.8084483828563421,0.7287784679089028,0.679585038595815,0.8084483828563421,0.8301886792452831,0.6494464944649446
