Model,Class,F1_Micro,F1_Macro,Loss,TestorVal
1,gcn,0.34326,0.81081,0.55726,Test
1,gcn,0.36955,0.81241,0.56452,Val
2,gcn,0.32038,0.85071,0.55047,Test
2,gcn,0.33905,0.83310,0.52470,Val
3,gcn,0.34783,0.84299,0.45740,Test
3,gcn,0.34402,0.84414,0.45774,Val
4,gcn,0.33273,0.83912,0.47164,Test
4,gcn,0.34051,0.83724,0.47197,Val
5,gcn,0.36824,0.84299,0.45740,Test
5,gcn,0.35686,0.84414,0.45774,Val
6,gcn,0.33094,0.84427,0.47366,Test
6,gcn,0.33821,0.83724,0.46397,Val
7,gcn,0.35155,0.84299,0.45740,Test
7,gcn,0.34365,0.84414,0.45774,Val
1,graphsage_maxpool,0.41345,0.84299,0.45740,Test
1,graphsage_maxpool,0.38872,0.84414,0.45774,Val
2,graphsage_maxpool,0.40931,0.77477,0.58950,Test
2,graphsage_maxpool,0.36530,0.81793,0.66823,Val
3,graphsage_maxpool,0.37650,0.84299,0.45740,Test
3,graphsage_maxpool,0.36275,0.84414,0.45774,Val
4,graphsage_maxpool,0.34940,0.84299,0.45740,Test
4,graphsage_maxpool,0.35082,0.84414,0.45774,Val
5,graphsage_maxpool,0.36616,0.84299,0.45740,Test
5,graphsage_maxpool,0.34951,0.84414,0.45774,Val
6,graphsage_maxpool,0.37561,0.84299,0.45740,Test
6,graphsage_maxpool,0.36240,0.84414,0.45774,Val
7,graphsage_maxpool,0.37646,0.84299,0.45740,Test
7,graphsage_maxpool,0.36303,0.84414,0.45774,Val
1,graphsage_mean,0.74135,0.82625,0.54231,Test
1,graphsage_mean,0.68035,0.80552,0.52781,Val
2,graphsage_mean,0.81138,0.74646,0.52271,Test
2,graphsage_mean,0.77323,0.74759,0.52210,Val
3,graphsage_mean,0.30338,0.84170,0.45702,Test
3,graphsage_mean,0.28299,0.84414,0.45774,Val
4,graphsage_mean,0.84831,0.80695,0.54195,Test
4,graphsage_mean,0.73505,0.82759,0.57257,Val
5,graphsage_mean,0.33403,0.84556,0.51651,Test
5,graphsage_mean,0.31608,0.84000,0.50300,Val
6,graphsage_mean,0.74549,0.84556,0.47417,Test
6,graphsage_mean,0.70540,0.84138,0.45693,Val
7,graphsage_mean,0.28693,0.86229,0.63724,Test
7,graphsage_mean,0.25961,0.85931,0.60678,Val
1,graphsage_meanpool,0.54528,0.69369,0.59124,Test
1,graphsage_meanpool,0.54379,0.69103,0.59214,Val
2,graphsage_meanpool,0.52233,0.84299,0.45740,Test
2,graphsage_meanpool,0.46487,0.84414,0.46637,Val
3,graphsage_meanpool,0.30738,0.84299,0.45740,Test
3,graphsage_meanpool,0.27904,0.84414,0.45774,Val
4,graphsage_meanpool,0.47088,0.79408,0.57315,Test
4,graphsage_meanpool,0.43944,0.81103,0.61397,Val
5,graphsage_meanpool,0.37039,0.84299,0.45740,Test
5,graphsage_meanpool,0.35559,0.84414,0.45774,Val
6,graphsage_meanpool,0.36633,0.81338,0.64870,Test
6,graphsage_meanpool,0.34390,0.80828,0.64946,Val
7,graphsage_meanpool,0.33864,0.84299,0.45740,Test
7,graphsage_meanpool,0.32383,0.84414,0.45774,Val
1,graphsage_seq,0.92212,0.63835,0.47654,Test
1,graphsage_seq,0.95001,0.64552,0.49261,Val
2,graphsage_seq,0.96689,0.82497,0.47955,Test
2,graphsage_seq,0.90179,0.83172,0.47730,Val
3,graphsage_seq,0.30651,0.84299,0.45740,Test
3,graphsage_seq,0.28570,0.84414,0.45774,Val
4,graphsage_seq,1.37204,0.70914,0.57457,Test
4,graphsage_seq,1.27952,0.70621,0.56405,Val
5,graphsage_seq,0.33790,0.84556,0.52900,Test
5,graphsage_seq,0.32221,0.84414,0.55043,Val
6,graphsage_seq,0.81277,0.80952,0.53947,Test
6,graphsage_seq,0.75756,0.80690,0.54733,Val
7,graphsage_seq,0.29573,0.85843,0.61680,Test
7,graphsage_seq,0.26093,0.86621,0.63285,Val
